model,MUV-737,MUV-466,MUV-712,MUV-652,MUV-859,MUV-733,MUV-548,MUV-810,MUV-846,MUV-713,MUV-692,MUV-600,MUV-852,MUV-644,MUV-689,MUV-858,MUV-832
layer1_binaryECFP_GbtreeLogistic_ROCAUC_mean,0.656208666667,0.791403,0.832149666667,0.780993666667,0.746666,0.644993,0.897326333333,0.669075333333,0.965472333333,0.840044333333,0.697386,0.793248666667,0.925716,0.830418,0.836356,0.777579333333,0.902005666667
layer1_binaryECFP_GbtreeLogistic_ROCAUC_std,0.046954539648,0.0405209711878,0.0253585357928,0.0824505852873,0.0569131802134,0.0743695116877,0.0230088497515,0.0722332077202,0.0274900153066,0.0189813555247,0.0169372943136,0.0917064988076,0.0244785452727,0.0478478059128,0.051326907232,0.144436351686,0.0549949826216
layer1_binaryECFP_GblinearLogistic_ROCAUC_mean,0.489157,0.650227666667,0.818436,0.745267,0.584235333333,0.597180666667,0.857535666667,0.598169,0.968345666667,0.831237333333,0.631097,0.815723,0.902592,0.871359333333,0.804786,0.781542333333,0.898591666667
layer1_binaryECFP_GblinearLogistic_ROCAUC_std,0.0439111981238,0.0360370145853,0.010757150769,0.0776439648266,0.0661762809086,0.0205752733207,0.0582022371869,0.097457732339,0.0210181766151,0.0191787592983,0.0307732595284,0.110080908875,0.0343506720264,0.0569446140581,0.116672908718,0.133797236759,0.00972217949959
layer1_binaryMACCSkeys_GbtreeLogistic_ROCAUC_mean,0.835225,0.899760666667,0.856568666667,0.849275666667,0.672059666667,0.722565666667,0.809504666667,0.743519333333,0.926295666667,0.851062333333,0.697734333333,0.739056,0.905511666667,0.820304,0.815333,0.681660666667,0.943943333333
layer1_binaryMACCSkeys_GbtreeLogistic_ROCAUC_std,0.0361386082743,0.00210890261089,0.0463743710925,0.0733265325165,0.0695119826856,0.0550063241233,0.0246607395446,0.0674249176212,0.0374303067699,0.0148830531441,0.101294555965,0.0377211419764,0.0796301088966,0.046425805475,0.0355512535456,0.0731306808817,0.0257682567685
layer1_binaryMACCSkeys_GblinearLogistic_ROCAUC_mean,0.744488,0.755658666667,0.809423666667,0.799327,0.539861,0.631,0.792063,0.640640666667,0.910219666667,0.760963,0.622984,0.726450333333,0.886673333333,0.726601666667,0.856563333333,0.713210666667,0.922734333333
layer1_binaryMACCSkeys_GblinearLogistic_ROCAUC_std,0.0391084747593,0.0442300691561,0.0669500611517,0.0651935566806,0.0183429425666,0.116892217611,0.0651450931997,0.0390521310501,0.0565051167732,0.0629239177155,0.0707660318703,0.0504376902745,0.0689915612923,0.00502776015958,0.0263765500187,0.0620734815646,0.0594000740871
layer2_GbtreeLogistic_ROCAUC_mean,0.710043,0.821833333333,0.851308666667,0.748184666667,0.681021,0.658798,0.876213666667,0.609701666667,0.948379666667,0.896121,0.606198666667,0.687196666667,0.890569666667,0.826560666667,0.811282333333,0.801481,0.950413666667
layer2_GbtreeLogistic_ROCAUC_std,0.129300711099,0.0528737295597,0.0769159828919,0.0308628652411,0.071440713341,0.0530130124403,0.0592912612242,0.0707772655087,0.0457744105539,0.0156588921064,0.00178727172591,0.0533463738995,0.0641465514653,0.0573593151768,0.0427370806547,0.0743654602084,0.00965134036748
layer2_GblinearLogistic_ROCAUC_mean,0.794991666667,0.402365,0.669118666667,0.833118,0.786882,0.595087666667,0.655530333333,0.629043,0.965628333333,0.904249666667,0.516015,0.774572666667,0.935081333333,0.618353,0.185037333333,0.464614,0.953832
layer2_GblinearLogistic_ROCAUC_std,0.108769989814,0.361770096841,0.305463053933,0.0800848120973,0.0451898438664,0.131258111252,0.33841444746,0.216729688243,0.0314253586172,0.027794865549,0.195724307158,0.0924800347907,0.041424499195,0.335593471523,0.049869882403,0.249541754506,0.0215849414793
layer2_GbtreeLogistic_EFR1_mean,13.095238,19.047619,23.809524,17.2619046667,5.55555566667,9.52380933333,27.9761906667,4.16666666667,57.7380953333,18.452381,4.16666666667,21.4285713333,51.190476,26.1904763333,9.52380966667,18.452381,39.2857143333
layer2_GbtreeLogistic_EFR1_std,10.2408634021,6.73435063373,6.73435063373,15.4532797633,7.85674217032,6.73435016233,12.400396883,5.89255650989,20.4297647753,7.19228952616,5.89255650989,5.05076285745,19.4160789202,10.3441352692,13.4687007961,7.19228952616,2.52538142872
layer2_GblinearLogistic_EFR1_mean,4.76190466667,0.0,4.76190466667,0.0,0.0,0.0,0.0,4.76190466667,62.5,0.0,0.0,0.0,14.2857143333,0.0,4.76190466667,0.0,26.1904763333
layer2_GblinearLogistic_EFR1_std,6.73435016233,0.0,6.73435016233,0.0,0.0,0.0,0.0,6.73435016233,44.4878260501,0.0,0.0,0.0,20.2030509584,0.0,6.73435016233,0.0,1.68358777628
