model,NR-Aromatase,NR-AR-LBD,NR-AR,SR-HSE,NR-ER-LBD,SR-ARE,NR-AhR,SR-ATAD5,SR-MMP,NR-PPAR-gamma,NR-ER
layer1_binaryECFP_GbtreeLogistic_ROCAUC_mean,0.779146666667,0.858238333333,0.818128666667,0.738517333333,0.777187,0.723982333333,0.848270666667,0.791200333333,0.824486,0.768013666667,0.689333666667
layer1_binaryECFP_GbtreeLogistic_ROCAUC_std,0.00875553829807,0.0172292244425,0.0203339544331,0.029470108385,0.0127080022296,0.0104450229402,0.0207805569437,0.0166731882441,0.0121512778203,0.0817600574092,0.0179345859228
layer1_binaryMACCSkeys_GbtreeLogistic_ROCAUC_mean,0.796784,0.829962,0.812219,0.739303333333,0.801609333333,0.771940333333,0.853813666667,0.840143666667,0.866503,0.754640333333,0.706708
layer1_binaryMACCSkeys_GbtreeLogistic_ROCAUC_std,0.00915158022784,0.0218817679511,0.0187394771716,0.0132897301787,0.0134679598637,0.0109336037771,0.016096731145,0.0180653511145,0.00724977369762,0.0577917217505,0.0266727694975
layer2_GbtreeLogistic_ROCAUC_mean,0.791441666667,0.787076333333,0.787702666667,0.722515,0.801088666667,0.769531,0.858644,0.806477333333,0.857743666667,0.776209333333,0.66724
layer2_GbtreeLogistic_ROCAUC_std,0.00457428685395,0.0177009637653,0.0305355856375,0.0237528691881,0.0150714953988,0.0118335139611,0.017143165227,0.0242492472781,0.0114006919478,0.0425961974542,0.00306431863008
layer2_GblinearLogistic_ROCAUC_mean,0.803424666667,0.864116,0.824213333333,0.758199,0.806699333333,0.778080666667,0.864875,0.845947333333,0.869529,0.78042,0.712471666667
layer2_GblinearLogistic_ROCAUC_std,0.00925604272294,0.0183810859491,0.0181836080823,0.0161873389001,0.0113234969373,0.010684515036,0.016201471929,0.016254993414,0.00581076489515,0.063283595236,0.0299953734358
layer2_GbtreeLogistic_EFR1_mean,18.6147186667,27.9661016667,24.0370743333,12.982456,19.4756556667,5.96415433333,9.000656,14.925373,7.54985766667,21.0992906667,9.181742
layer2_GbtreeLogistic_EFR1_std,1.61976517539,4.19470120438,1.63375805697,1.31286232068,1.40136997895,0.521951236855,1.0652000676,3.22424919811,0.201455193365,4.43616875011,0.225798529213
layer2_GblinearLogistic_EFR1_mean,19.4805193333,18.502825,23.1879233333,11.2280703333,19.1011236667,5.82584166667,8.830588,17.4129353333,7.122507,21.0845153333,9.015913
layer2_GblinearLogistic_EFR1_std,1.0603853344,12.2600388208,1.97007208868,2.16295228174,1.58900423042,0.594624096118,0.884968319951,0.703589160652,0.20145472196,4.97828385939,0.427885631688
